name,psap_score
seg0,0.004166666666666667
seg0,0.015833333333333335
seg0,0.004166666666666667
seg0,0.0016666666666666668
seg0,0.005
seg0,0.0016666666666666668
seg0,0.0016666666666666668
seg0,0.006666666666666667
seg1,0.0025
seg2,0.004166666666666667
seg3,0.015
seg4,0.0016666666666666668
seg5,0.0
seg6,0.009166666666666667
seg0,0.0016666666666666668
seg0,0.0008333333333333334
seg0,0.005833333333333334
seg0,0.008333333333333333
seg0,0.011666666666666667
seg1,0.0125
seg2,0.024166666666666666
seg3,0.0025
seg4,0.005833333333333334
seg5,0.020833333333333332
seg6,0.010833333333333334
seg0,0.0075
seg0,0.020833333333333332
seg0,0.013333333333333334
seg0,0.009166666666666667
seg1,0.0075
seg2,0.011666666666666667
seg3,0.0016666666666666668
seg4,0.0025
seg5,0.006666666666666667
seg6,0.006666666666666667
seg0,0.0016666666666666668
seg0,0.005
seg1,0.0025
seg0,0.0016666666666666668
seg0,0.009166666666666667
seg0,0.01
seg0,0.021666666666666667
seg0,0.0033333333333333335
seg0,0.0008333333333333334
seg0,0.0008333333333333334
seg1,0.015
seg2,0.01
seg0,0.008333333333333333
seg1,0.008333333333333333
seg2,0.005833333333333334
seg3,0.008333333333333333
seg0,0.013333333333333334
seg0,0.019166666666666665
seg1,0.014166666666666666
seg2,0.0075
seg3,0.0075
seg4,0.004166666666666667
seg5,0.0016666666666666668
seg6,0.015
seg0,0.0075
seg1,0.025833333333333333
seg2,0.010833333333333334
seg3,0.004166666666666667
seg0,0.020833333333333332
seg0,0.0
seg0,0.014166666666666666
seg1,0.020833333333333332
seg0,0.0025
seg1,0.0016666666666666668
seg2,0.013333333333333334
seg3,0.004166666666666667
seg4,0.0016666666666666668
seg5,0.0033333333333333335
seg6,0.004166666666666667
seg7,0.01
seg8,0.006666666666666667
seg9,0.006666666666666667
seg10,0.006666666666666667
seg11,0.0016666666666666668
seg0,0.004166666666666667
seg0,0.019166666666666665
seg0,0.005
seg0,0.013333333333333334
seg1,0.015833333333333335
seg2,0.0125
seg3,0.021666666666666667
seg4,0.0033333333333333335
seg0,0.025
seg0,0.0008333333333333334
seg0,0.013333333333333334
seg1,0.0033333333333333335
seg2,0.016666666666666666
seg3,0.023333333333333334
seg0,0.018333333333333333
seg1,0.005833333333333334
seg2,0.014166666666666666
seg3,0.0016666666666666668
seg4,0.015
seg5,0.029166666666666667
seg6,0.011666666666666667
seg7,0.0075
seg0,0.023333333333333334
seg0,0.0016666666666666668
seg0,0.025833333333333333
seg0,0.0008333333333333334
seg0,0.0033333333333333335
seg1,0.014166666666666666
seg2,0.015
seg3,0.011666666666666667
seg4,0.006666666666666667
seg5,0.0025
seg6,0.009166666666666667
seg0,0.005833333333333334
seg0,0.01
seg1,0.02
seg2,0.009166666666666667
seg3,0.005
seg4,0.0033333333333333335
seg5,0.011666666666666667
seg6,0.0125
seg0,0.006666666666666667
seg1,0.0075
seg2,0.004166666666666667
seg3,0.0175
seg4,0.02
seg5,0.004166666666666667
seg6,0.0025
seg7,0.018333333333333333
seg8,0.004166666666666667
seg9,0.0033333333333333335
seg10,0.006666666666666667
seg11,0.0075
seg0,0.0008333333333333334
seg0,0.04083333333333333
seg1,0.0033333333333333335
seg2,0.0008333333333333334
seg3,0.0033333333333333335
seg4,0.0075
seg5,0.028333333333333332
seg6,0.010833333333333334
seg7,0.011666666666666667
seg8,0.0025
seg9,0.0075
seg10,0.004166666666666667
seg11,0.005
seg0,0.019166666666666665
seg1,0.015
seg2,0.014166666666666666
seg3,0.0033333333333333335
seg4,0.0075
seg5,0.008333333333333333
seg6,0.01
seg0,0.006666666666666667
seg0,0.02
seg1,0.0125
seg2,0.005833333333333334
seg3,0.005
seg4,0.024166666666666666
seg5,0.0075
seg6,0.0016666666666666668
seg7,0.015833333333333335
seg8,0.005833333333333334
seg9,0.0025
seg10,0.006666666666666667
seg11,0.018333333333333333
seg0,0.023333333333333334
seg0,0.0033333333333333335
seg1,0.008333333333333333
seg2,0.014166666666666666
seg3,0.008333333333333333
