name,psap_score
seg0,0.008333333333333333
seg0,0.0016666666666666668
seg0,0.0008333333333333334
seg0,0.0033333333333333335
seg0,0.0016666666666666668
seg0,0.0008333333333333334
seg0,0.008333333333333333
seg1,0.030833333333333334
seg2,0.0033333333333333335
seg3,0.0025
seg0,0.006666666666666667
seg0,0.0016666666666666668
seg0,0.0033333333333333335
seg0,0.005
seg0,0.0025
seg1,0.0008333333333333334
seg2,0.0008333333333333334
seg3,0.01
seg0,0.0025
seg0,0.005
seg0,0.006666666666666667
seg0,0.008333333333333333
seg1,0.0033333333333333335
seg2,0.0
seg3,0.0025
seg0,0.006666666666666667
seg0,0.0008333333333333334
seg0,0.0033333333333333335
seg0,0.0075
seg0,0.004166666666666667
seg0,0.01
seg0,0.005
seg0,0.005833333333333334
seg1,0.004166666666666667
seg0,0.0025
seg1,0.006666666666666667
seg0,0.0025
seg0,0.0075
seg1,0.015
seg2,0.006666666666666667
seg3,0.005833333333333334
seg0,0.0008333333333333334
seg0,0.0025
seg1,0.008333333333333333
seg0,0.005
seg0,0.0
seg0,0.009166666666666667
seg1,0.005
seg2,0.0025
seg3,0.006666666666666667
seg4,0.004166666666666667
seg5,0.0016666666666666668
seg0,0.0016666666666666668
seg0,0.0025
seg0,0.0075
seg0,0.006666666666666667
seg0,0.005833333333333334
seg0,0.0033333333333333335
seg1,0.0008333333333333334
seg0,0.0125
seg0,0.0025
seg0,0.004166666666666667
seg0,0.0008333333333333334
seg0,0.005
seg0,0.0016666666666666668
seg1,0.0016666666666666668
seg0,0.018333333333333333
seg1,0.015833333333333335
seg2,0.025833333333333333
seg3,0.004166666666666667
seg0,0.004166666666666667
seg0,0.0
seg1,0.025833333333333333
seg2,0.004166666666666667
seg3,0.013333333333333334
seg0,0.0016666666666666668
seg0,0.005
seg1,0.0
seg2,0.0016666666666666668
seg3,0.0008333333333333334
seg4,0.0025
seg5,0.0016666666666666668
seg0,0.004166666666666667
seg1,0.0075
seg2,0.0008333333333333334
seg3,0.0075
seg0,0.016666666666666666
seg1,0.005
seg0,0.0016666666666666668
seg1,0.0025
seg2,0.004166666666666667
seg3,0.0033333333333333335
seg4,0.0008333333333333334
seg5,0.01
